date,bank_holiday,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,school_holiday,feature_8,feature_9,feature_10,label
2005-03-20,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,915
2005-03-21,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,1057
2005-03-22,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,1482
2005-03-23,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,1883
2005-03-24,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,1790
2005-03-25,3,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,2193
2005-03-26,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,1481
2005-03-27,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,865
2005-03-28,3,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,1942
2005-03-29,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,2753
2005-03-30,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,3160
2005-03-31,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,3135
2005-04-01,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,2054
2005-04-02,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,1529
2005-04-03,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1699
2005-04-04,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,817
2005-04-05,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,718
2005-04-06,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,726
2005-04-07,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,638
2005-04-08,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1089
2005-04-09,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1941
2005-04-10,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,2590
2005-04-11,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,912
2005-04-12,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,589
